departamento,year,variable,cantidad
Chinandega,2013,Homicidios,6
Chinandega,2013,Robos,151
Chinandega,2013,Hurtos,99
Chinandega,2013,Delitos sexuales,62
Chinandega,2013,Lesiones,93
Chinandega,2014,Denuncias,1180
Chinandega,2014,Homicidios,5
Chinandega,2014,Robos,139
Chinandega,2014,Hurtos,72
Chinandega,2014,Delitos sexuales,56
Chinandega,2014,Lesiones,78
Chinandega,2015,Denuncias,917
Chinandega,2015,Homicidios,5
Chinandega,2015,Robos,97
Chinandega,2015,Hurtos,55
Chinandega,2015,Delitos sexuales,35
Chinandega,2015,Lesiones,63
Chinandega,2016,Denuncias,877
Chinandega,2016,Homicidios,4
Chinandega,2016,Robos,110
Chinandega,2016,Hurtos,56
Chinandega,2016,Delitos sexuales,41
Chinandega,2016,Lesiones,56
Chinandega,2017,Denuncias,811
Chinandega,2017,Homicidios,4
Chinandega,2017,Robos,105
Chinandega,2017,Hurtos,53
Chinandega,2017,Delitos sexuales,33
Chinandega,2017,Lesiones,40
Chinandega,2018,Denuncias,650
Chinandega,2018,Homicidios,6
Chinandega,2018,Robos,87
Chinandega,2018,Hurtos,29
Chinandega,2018,Delitos sexuales,22
Chinandega,2018,Lesiones,27
Chinandega,2019,Denuncias,699
Chinandega,2019,Homicidios,4
Chinandega,2019,Robos,106
Chinandega,2019,Hurtos,44
Chinandega,2019,Delitos sexuales,23
Chinandega,2019,Lesiones,30
Chontales,2007,Denuncias,1796
Chontales,2007,Homicidios,23
Chontales,2007,Robos,279
Chontales,2007,Hurtos,248
Chontales,2007,Delitos sexuales,103
Chontales,2007,Lesiones,207
Chontales,2008,Denuncias,1742
Chontales,2008,Homicidios,15
Chontales,2008,Robos,395
Chontales,2008,Hurtos,200
Chontales,2008,Delitos sexuales,74
Chontales,2008,Lesiones,147
Chontales,2009,Denuncias,1932
Chontales,2009,Homicidios,13
Chontales,2009,Robos,314
Chontales,2009,Hurtos,161
Chontales,2009,Delitos sexuales,73
Chontales,2009,Lesiones,140
Chontales,2010,Denuncias,2041
Chontales,2010,Homicidios,14
Chontales,2010,Robos,296
Chontales,2010,Hurtos,119
Chontales,2010,Delitos sexuales,58
Chontales,2010,Lesiones,130
Chontales,2011,Denuncias,1782
Chontales,2011,Homicidios,7
Chontales,2011,Robos,189
Chontales,2011,Hurtos,84
Chontales,2011,Delitos sexuales,50
Chontales,2011,Lesiones,114
Chontales,2012,Denuncias,1579
Chontales,2012,Homicidios,9
Chontales,2012,Robos,158
Chontales,2012,Hurtos,62
Chontales,2012,Delitos sexuales,59
Chontales,2012,Lesiones,124
Chontales,2013,Denuncias,1377
Chontales,2013,Homicidios,8
Chontales,2013,Robos,145
Chontales,2013,Hurtos,51
Chontales,2013,Delitos sexuales,57
Chontales,2013,Lesiones,105
Chontales,2014,Denuncias,1302
Chontales,2014,Homicidios,8
Chontales,2014,Robos,143
Chontales,2014,Hurtos,76
Chontales,2014,Delitos sexuales,45
Chontales,2014,Lesiones,79
Chontales,2015,Denuncias,1294
Chontales,2015,Homicidios,9
Chontales,2015,Robos,154
Chontales,2015,Hurtos,51
Chontales,2015,Delitos sexuales,51
Chontales,2015,Lesiones,74
Chontales,2016,Denuncias,1274
Chontales,2016,Homicidios,6
Chontales,2016,Robos,129
Chontales,2016,Hurtos,50
Chontales,2016,Delitos sexuales,29
Chontales,2016,Lesiones,65
Chontales,2017,Denuncias,1278
Chontales,2017,Homicidios,3
Chontales,2017,Robos,147
Chontales,2017,Hurtos,44
Chontales,2017,Delitos sexuales,24
Chontales,2017,Lesiones,69
Chontales,2018,Denuncias,1090
Chontales,2018,Homicidios,9
Chontales,2018,Robos,141
Chontales,2018,Hurtos,52
Chontales,2018,Delitos sexuales,26
Chontales,2018,Lesiones,83
Chontales,2019,Denuncias,1330
Chontales,2019,Homicidios,4
Chontales,2019,Robos,155
Chontales,2019,Hurtos,55
Chontales,2019,Delitos sexuales,28
Chontales,2019,Lesiones,66
Estelí,2007,Denuncias,2197
Estelí,2007,Homicidios,6
Estelí,2007,Robos,428
Estelí,2007,Hurtos,334
Estelí,2007,Delitos sexuales,66
Estelí,2007,Lesiones,318
Estelí,2008,Denuncias,2127
Estelí,2008,Homicidios,8
Estelí,2008,Robos,346
Estelí,2008,Hurtos,286
Estelí,2008,Delitos sexuales,47
Estelí,2008,Lesiones,288
Estelí,2009,Denuncias,2994
Estelí,2009,Homicidios,7
Estelí,2009,Robos,425
Estelí,2009,Hurtos,218
Estelí,2009,Delitos sexuales,69
Estelí,2009,Lesiones,248
Estelí,2010,Denuncias,2896
Estelí,2010,Homicidios,5
Estelí,2010,Robos,350
Estelí,2010,Hurtos,151
Estelí,2010,Delitos sexuales,39
Estelí,2010,Lesiones,179
Estelí,2011,Denuncias,2782
Estelí,2011,Homicidios,6
Estelí,2011,Robos,325
Estelí,2011,Hurtos,173
Estelí,2011,Delitos sexuales,50
Estelí,2011,Lesiones,160
Estelí,2012,Denuncias,2220
Estelí,2012,Homicidios,8
